stname,stabbr,stfips,year,rml,prcng,mml,mml_year,years_since_mml,rmlsl,regag,lcauth,edib,conc,hemp,rtl,pblus,pblus2,mmlhc,rmlhc,mmlout,hmdl,hmdl2,pkr,warnr,warnthc,warnsize,adgn,adyth,undrg,undrg2,drvpr,drvpr2,drvpr3,opncn,opncn2,tax,tax2,thclim,estlm,pkwrn,id,styr
Georgia,GA,13,2022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GA2022,53
Georgia,GA,13,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GA2023,54
Georgia,GA,13,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GA2020,51
Georgia,GA,13,2024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GA2024,55
Hawaii,HI,15,2023,0,0,1,2000,23,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HI2023,59
Hawaii,HI,15,2021,0,0,1,2000,21,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HI2021,57
Hawaii,HI,15,2024,0,0,1,2000,24,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HI2024,60
Hawaii,HI,15,2020,0,0,1,2000,20,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HI2020,56
Hawaii,HI,15,2022,0,0,1,2000,22,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HI2022,58
Iowa,IA,19,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IA2020,61
